birokracija
bogomolec
bogomolka
doktorček
firerček
pametnjakar
pametnjakinja
pametnjakovič
pildek
šentflorjanski
študentek
aje
ajati
ajati
ajatutajati
ajčkati
ajčkati
as
atek
bavbav
bavbav
biba
biba
bimčkati
bimčkati
bogec
bogec
bogek
cucat
cucat
cucljata
cucljata
čajček
čajček
čičati
čičati
čičkati
čičkati
čičniti
čičniti
denarček
denarček
dudeldu
dudica
dudica
dudek
gledkati
bogek
bolančkan
bolančkan
božkati
božkati
brundač
buba
buba
buban
bubati
bubati
buca
bucat
bucat
bucniti
bucniti
bumfati
bumfati
bumfniti
cucati
cucat
cucat
cucljata
cucljata
čajček
čajček
čičati
čičati
čičkati
čičkati
čičniti
čičniti
denarček
denarček
dudeldu
dudica
dudica
dudek
gledkati
gledkati
gnidica
grd
ha
hamati
hamati
hap
hopkati
hovhov
hovhov
igrajčkati
jokcat
jokcat
jokec
jokec
kaka
kaka
kakati
kakati
kakec
kakec
kregati
kuku
kukuca
kukuk
kupček
ležkati
ležkati
ljubček
ljubček
ljubčkati
luček
lulat
lulat
lulček
lulček
lulek
lulek
mamin
manda
meda
meda
medvedek
mesek
mesek
mijav
mijav
mlekec
mlekec
molčkati
muec
mucek
mucek
napapcati
napapcati
napupcati
naspančkati
naspančkati
nien
ninat
ninat
noček
noček
obimčkati
objemčkati
objemčkati
pa
pa
pančkati
pančkati
papa
pap
papa
pap
papa
papa
papati
papati
papcat
papcat
papica
papica
papkati
papkati
pi-bip
pi-bip
pimpek
pimpek
pip
pipica
pipik
pipik
pobožkati
pobožkati
pocucat
pocucat
podret
pojčkati
pojčkati
pojokcat
pojokcat
pokakati
pokakati
poležkati
poležkati
polulan
polulanec
polulanek
polulat
polulat
popapati
popapati
popapcat
popapcat
pospančkati
pospančkati
potiček
prašiček
prašiček
pridkan
proskati
proskati
pukec
pukec
pup
pup
pupati
pupati
pupcat
pupcat
pupica
pupica
racek
raček
reč
riti
ritek
rokica
rokica
skledek
skledek
