bognasvarovati
dolgoprstnež
dolgoprstnica
hudik
hudik
hudiman
hudiman
hudiman
hudimanski
hudimar
hudir
hudir
hudnik
hudobar
hudobec
klek
maloumen
maloumnost
nastran
nemiroljuben
nemiroljubnost
netrezen
parklja
urh
vranča
zmikavt
zmikavtski
abelstvo
abrupten
absolutizacija
absolutizirati
absolutnost
absolutum
abstrakcija
abstraktum
abstruzen
abstruznost
abuzus
ad
adekvati
adept
aditiven
abelstvo
abrupten
absolutizacija
absolutizirati
absolutnost
absolutum
abstrakcija
abstraktum
abstruzen
abstruznost
abuzus
ad
adekvati
adept
aditiven
adonis
afekcija
aferist
aficirati
agirati
agnoscirati
agraf
agrarec
agregacija
agregirati
ahasver
ahasverstvo
ahistorizem
akademizem
akceleracija
akceptirati
akcesoren
akomodacija
akomodirati
akribije
aksio
aksiomatičen
aksiomatika
aksiomatik
aktovka
akulturacija
akvirirati
akvizicija
aleatoren
alegoričnost
alegorik
alegorizacija
aleje
alias
alienacija
alieniranost
alienirati
aliiran
alikvoten
alimentacija
alimentirati
alineo
alkoti
alkoven
alohton
alokacija
altaen
alteracija
alterirati
alternacija
alternirati
aludirati
aluzije
ambivalenec
ambivalentnost
ambrozijski
amoralizem
amorfen
amorfnost
amplifikacija
anahoreti
analist
analističen
analogon
anarhoiden
anat
anatemizirati
anatomizirati
androgin
anekdotičen
anekdotičnost
aneks
animator
animozen
animoznost
anomalen
anoni
antecedens
antibarbarus
anticipacija
anticipirati
antikizirati
antinomije
antitez
antropocentričnost
antropofag
antropofagije
anulacija
aojda
apaga
apati
aperç
aplomba
apoliničen
apoliničnost
apologeti
apologije
apostolovata
aprioren
aproksimacija
aproksimativnost
aproksimirati
arbitraren
arbitrarnost
arbitrje
areo
argo
arhetip
arhivalija
Ariadnina
aristarh
arkadijski
asertoričen
aspirant
aspirirati
ataki
atakirati
aterirati
atipičen
av
averza
averzija
Ávgij
aviz
avizirati
aviza
avksiliaren
avtocenzur
avtodidakt
avtohton
avtoreferati
azur
azuren
bahavec
bajalen
bajalka
bajati
bajiti
bajiti
bajnost
bakanati
bakanalski
bakhičen
bakrenet
baladar
baladik
baladnik
baladnost
balvan
baržun
baržunast
basniti
bedačiti
bednež
bednica
bednik
begav
beletrije
belokriti
belolica
beloprs
belorok
belorun
beloti
belozoba
been
benevolenec
benevolenten
besediti
besedje
besednik
besednost
besedolomen
besedolomstvo
besedovalec
besedovata
bestija
bežen
bežnost
bifurkacija
bigoten
bigotizem
bigotnost
bilnat
biser
bisernost
bistrica
bistrook
bistroumiti
bistroumje
bistrovid
bistvenost
biti
bitnost
bivalnica
bizaren
bizarnost
blagodati
blagodejen
blagodejnost
blagosrčen
blagosrčnost
blagoti
blagoten
blagovest
blagovestje
blagozvočen
blagozvočji
blagozvočnost
blaznik
blazniti
blazniv
blaznivost
bledien
bledokrven
bledoti
bledoten
blesketi
blesketav
bleskoti
bleskoten
bleščav
bleščavica
bleščavost
bliskonosen
blizek
bližati
blodilka
blodišče
blodniec
blodnjaka
blodnjati
blodnost
blokač
blondin
bočien
bod
bodisi
bodljiki
bodljikast
bodriti
bodrit
bodrost
bogoiskatelj
bogoiskateljstvo
bogoljuba
bogoljuben
bogoljubnost
bogonosec
bogopodobnost
bogorodica
bogovdanost
bogovstvo
bohe
bohemstvo
bohoti
bojeven
bojevnik
bokati
boklien
bok
boti
bolest
bolestnež
bolestnost
bolnost
bolvan
bonvivan
boren
borilnica
borniran
borniranec
borniranost
bornost
bosilje
bosjaštvo
bosonog
bosonožec
bosoti
brahialen
bratoljubji
bratomor
bratomorstvo
bravuren
bravurnost
bravurozen
bravuroznost
brazdati
brazditi
bremenilen
brezbarvje
brezbramben
brezbrežen
brezbrežji
brezbrežnost
brezbrižnik
brezcen
brezčasje
brezčasovnost
brezčasten
brezčastnež
brezčastnost
brezčutje
brezdanje
brezdanjost
brezdelec
brezdomje
brezdrevesen
brezdušje
brezglasen
brezglasje
brezglasnost
brezgrajen
brezgrajnost
brezgrešen
brezgrešnost
brezimen
brezimenec
brezizgleden
brezizjemen
brezkončen
brezkonfesionalen
brezkoristen
brezkoristnost
brezkrajen
brezkrajnost
brezlastniški
brezličen
brezličji
brezličnost
brezlik
brezmadežnost
brezmejnost
brezmiselje
brezmiseln
brezmiselnost
breznadejen
breznadejnost
breznaden
brezobličnost
brezobrven
brezobzoren
brezodzivnost
brezploden
brezpokojen
brezpokojnost
brezpomočen
brezpomočnost
brezposelnež
brezposelnik
brezpoten
brezpotje
brezpravje
brezprimeren
brezpriziven
brezprostoren
brezprostor
brezprostornost
brezradosten
brezredje
brezruden
brezsen
brezsenčji
brezskrupuloznost
brezsmeren
brezsmernost
brezsmotrn
brezsmotrnost
brezsnen
brezsnoven
brezsnovnost
brezsramen
brezsramnost
brezšumen
breztalnost
breztelesen
breztelesnost
breztolažen
brezu
brezu
brezumen
brezumje
brezumnež
brezumnica
brezumnost
brezup
brezupje
brezupnež
brezutešen
brezvoljen
brezvoljnost
brezvsebinski
brezvsebinskost
brezvzročnost
brezzakonitost
brezzakonje
brezzemljaka
brezzgodovinski
brezzloben
brezznačajen
brezzobosti
brezželjnost
brežuljek
bridkosten
briljanec
briljantnost
briljirati
brineti
brineti
brineten
bri
briskanten
britoglavec
brižen
brižnost
brložiti
brzdanost
bržd
bucikariti
budnik
bujnobarven
buriti
burkat
burkniti
burlesken
burlesknost
buršikozen
buržoa
Canoss
celost
celotnosten
celoviti
celovitost
ciklamen
ciljnost
cimelij
cineast
cinobariti
cinquecenta
cirkulirati
cisterec
cmokavzarstvo
cvetaen
cvetiv
cvetivost
cvetličarica
cvetličenje
cvetober
cvilimožek
čad
čadast
čajevien
čajka
čaralec
čaren
čariti
čaroba
čaroben
čarobnost
čarodeje
čarodejen
čarodejka
čarodejnik
čarodejstvo
čarostrelec
časnost
častikraje
častiljuben
častiljubji
častiljubnost
čest
čestitkar
čestokrat
četovata
čezmornik
čistosrčen
členiti
človečen
človekoljuba
človekoljuben
človekoljubji
človekoljubnost
človekomrzen
človekomrznež
čopolas
črednost
črnjav
črnogled
črnogledje
črnokriti
črnoobrv
črnoti
črnozemen
črtičar
črtomirstvo
čud
čudesen
čud
čudotvoren
čudovišče
čuje
čuječen
čustvenjaka
čuten
čutnosten
da
daimonion
daljnodaljen
daljnost
daljnovidec
danajski
današnjik
današnjost
dandanašnji
dandanašnjik
dandijstvo
dandizem
dandy
danek
danje
danost
danunciad
danzadneven
darek
darljiv
darniec
darnik
darotljiv
darotljivost
daroven
das
dasiraven
dati
davnodaven
debači
debatant
deec
decenija
decidiran
deciziven
dedicirati
dedikacija
dedovski
dedukcija
deduktiven
defektiven
defetišizacija
defetišizirati
deficienec
deformen
deformiranec
deformnost
defravdacija
defravdant
defravdirati
degenerati
deheroizirati
dehtiv
deificirati
deifikacija
dejanskost
dejanstven
dejanstvenost
dejavnosten
deklamovanek
dekličevanje
dekokt
dekomponirati
dekompozicija
dekorum
dekrepiden
dekrepiten
dekristjanizacija
delanezmožnost
delovalec
deloviti
demant
demanten
demant
demistificirati
demitizirati
demonije
demonik
demonizirati
deontologije
depedikulacija
depersonalizacija
depersonalizirati
depravacija
desetništvo
desideratum
deskriptiti
desolaten
desperada
desperati
desperaten
destinatar
destrukcija
deti
detece
detekcija
determinant
determinant
detinski
detinstvo
detronizacija
detronizirati
devastacija
devastirati
deviacija
devianten
deviirati
deviz
devoten
devotnost
dezagregacija
dezalienacija
dezavuirati
deziluzije
deziluzionirati
deziluzionist
deziluzionističen
deziluzionizem
dezinteresiranost
diaboličen
diabolik
diafan
diahron
diahroničen
diahronije
diakritičen
dialogizirati
difamacija
difamirati
diferirati
dignitar
digniteti
digresije
dihotomen
dihotomije
dijakovanje
dimenzionalnost
dimenzioniranost
dinamizem
dinamizirati
dinirati
dionizičnost
dionizijski
dir
disakord
disgustirati
disharmonirati
disident
diskontinuiran
diskontinuiranost
diskontinuiteti
diskrepanec
diskrepanten
diskreten
diskretnost
diskurza
disparaten
disparatnost
dispariteti
dispenz
dispenzacija
distingviran
distingviranost
distinkcija
distinktiven
ditirambičen
divergirati
divinacija
divinizirati
divjegled
divjeok
dninariti
dniniti
dobiti
dobojevata
dobrati
dobrobiti
dobrobiti
dobrodelnik
dobromiseln
dobroten
dobrotnost
dobrotvoren
dobršen
doceti
dočist
dočutit
dodeljevata
doganjati
doganjivost
doganljiv
doganljivost
dogled
doglednost
dogmatizacija
dogmatizem
dogmatizirati
dogovoren
dograjenost
dohodit
dohrepenet
doje
dojemalec
dojenča
dojenec
dojetje
dokati
dokajkrat
dokajšen
dokajšnji
dolgodoben
dolgores
dolgorun
dolgostasen
dolgoživost
domačen
domačijski
domačijstvo
domati
domestikacija
dominacija
dominanec
dominant
domisel
domisličen
domisličnost
domobežnost
domodrovata
domoljuba
domoljuben
domoljubji
domoljubek
domoljubnost
domovališče
domovata
domoven
domozgati
donator
donatorica
donebnik
donkihotiad
donkihotiti
dopesniti
doprvaka
dorzalen
dosanjati
dositi
doslu
doslutit
dosuh
došlec
došlica
doumetje
dovoljšen
dovršitelj
dovtipkanje
dovtipkarstvo
dovtipkovanje
doyen
dozdeti
dozdevek
dozret
doživljajski
drag
dragotien
dragotinar
dragotinje
dramatizem
drastik
drastilen
drastiti
drastiti
drastljiv
draž
dražesti
dražesten
dremotica
drhtaje
drnica
drobinčiti
drobnjav
drobnjati
drobnopisje
drobnorisba
drobnoti
drugariti
drugorodec
družinstvo
družljiv
družljivost
družnost
drzek
drzkost
drznogled
drznook
dualiteti
dualnost
dubiozen
dueti
duelant
duhamoren
duhomoren
duhovidec
duhovnost
duktus
dupliciteti
dupliki
duplirati
dvojezičnik
dvojniški
dvojništvo
dvojnosten
dvokolo
dvomen
dvomeren
dvomilec
dvomiseln
dvomiselnost
dvoobrazen
dvopolnost
dvorečji
eden
edinole
edinorojen
edinorojenec
edinorojenek
edinost
edinoveljavnost
edinovrsten
editor
edukacija
edukativen
efektuirati
efemeren
efemernost
efialt
egalizirati
ega
egotizem
eksaltacija
eksaltiran
eksaltiranec
eksaltiranost
eksaminator
ekscentričnost
ekscentrik
ekscerptor
ekscesiven
eksegeti
eksegez
eksekutiti
eksekutiven
eksemplifikacija
ekshibicija
eksiti
eksistenten
eksjezuiti
ekskralj
ekskurza
ekskviziten
eksodus
eksogen
eksoti
eksoti
eksoteričen
eksotizem
ekspatriacija
ekspertiz
eksplicirati
ekspliči
ekspliciten
eksplikacija
eksplikativen
ekspresiven
ekspresivnost
ekstatika
ekstemporirati
eksteren
eksterier
ekstradicija
ekstraordinaren
ekstraordinarija
ekstrapolacija
ekstrapolirati
elasticiteti
eldorada
elegan
elegika
elekcija
elektiven
elevacija
elevteričen
eliminacija
eliminirati
emanirati
emeritus
emfatičen
emfaz
eminenten
emocija
emocionalnost
emotivnost
emporija
endemičen
endogen
enigma
enigmatičen
enigmatski
enodnevnik
enolik
enolinijski
enoobrazen
enormen
enormnost
enunciacija
epifenomen
epigraf
epigramatika
epistol
epitaf
epizodnost
epoh
epos
eremiti
eremitaž
eremitski
erga
erosa
erotika
erotik
erudicija
eruditi
eruirati
eruptivnost
esencialen
eskamoter
eskulap
Eskulap
esplanad
espri
esteticizem
estetizem
estetizirati
etažer
etceteri
etos
evalvacija
evalvirati
evazije
eventualnost
evfoničen
evfonije
evocirati
evokacija
evokativen
evolucionirati
evolutiven
evolvirati
evritmije
ezoteričen
fabulativnost
fabulirati
fabulist
fabulistik
facialen
facit
faktičnost
faktorialen
faktotum
faktum
faliten
falos
fa
famulus
fanfaronad
fantazem
fantazem
fantazmagorije
fascinacija
fascinanten
fascinirati
fatum
fazonirati
fejaštvo
feminilen
feminin
fenomenski
fetišizirati
fiaski
figurativnost
figurien
figurirati
filantrop
filiacija
Filip
filipik
filistejec
filistejski
filistejstvo
filistrozen
filistroznost
finansje
fioti
fiskalist
fizis
flagranten
fleksibilen
fleksibilnost
floriad
florirati
floskula
fluidnost
folklor
foničen
formalizirati
formativen
fortuen
fraternizirati
fravdulenten
frenetičen
frivolen
frivolnež
frivolnost
fronderstvo
frustracija
frustrirati
fulminanten
fundacija
fundator
fundus
funkcionalizem
furor
furtimaški
fuzije
fuzionirati
gag
gati
galan
galantnež
galban
galeoti
galer
galiti
galonirati
