adreselj
adrica
ahel
ajdien
ajdinski
ajer
ajtek
akov
amažnik
angurija
ant
ardičien
ardigati
arnica
aškrce
ata
ateti
babkovien
bač
badnik
badnjak
badnji
bag
bajtig
bakala
baladur
balar
bati
bati
balincanje
balincar
balincati
baliž
bandêrar
bangar
banjkati
banka
baračnica
baratata
barbir
bardun
bared
bariti
barilec
bart
baruf
bav
bavh
bavši
becata
beč
bedanec
bedeniec
bedenje
bedenek
bednjar
beganica
belač
belačiec
belč
beloritek
belš
beluh
been
bendi
berač
bêrek
berlin
bernji
beroš
berovnje
bêtega
bevanda
bez
bezgati
biec
bicek
bicek
biglica
bikič
bincati
binkoštnica
biren
blagajaen
blagovniec
blanje
blez
bljuvanec
bobovnik
bodilj
bodonež
bogatec
borjač
borjaka
borek
borovčica
borovec
boroviec
boršti
bosiljek
boteg
botrije
botrn
božur
brač
bradavičnik
bramorek
bran
branda
branovlek
braskljava
bratìč
bratranka
bravek
brečkast
bregarica
bregeša
breguša
brezovec
brežnat
brežnica
brgeša
brgleza
briselj
briškol
brjar
brkati
brkončica
brlevek
brleza
brliki
brnjati
broč
bročiti
brščiki
bruncelj
brven
brzen
brže
bubec
bukač
bulec
buliti
bunder
bureža
burka
burnik
butarnik
cacek
camar
camariti
cebata
cebnit
cecat
cecatnik
cecek
cecelj
cecniti
cedeti
cek
cempin
cemun
cepanek
cepenet
cepêtec
cerkvanje
ciba
cibek
cicanje
ciganiec
cilarica
cimanje
cimavica
cimbor
cimbor
cimiti
cimrak
cingalica
cingeljček
cingol
cintor
ciproš
citirati
citirati
ciz
cizati
cizej
cizek
cmender
cmerd
cmerg
cmergljati
cmizet
cmrk
cmudje
coti
coprijan
coti
cotast
crens
cuca
cuckovec
cuckovien
cucorati
cumati
cvetniec
cvetonek
cvetovec
cvrtien
ča
čač
čad
čadan
čade
čaje
čajec
čakež
čap
čapljariti
čêbula
čeč
če
čêhniti
čelaren
čelarnost
čelešnik
čemer
čemerit
čenda
čepun
čepur
čerf
čerh
čêsnik
češmilje
češp
češuljek
četrtniec
čevketata
čiba
čìč
čindar
činit
činka
čiriček
človečina
čmokotata
čmrček
čmrkniti
čobast
čohnet
čohniti
čoki
čokata
čoljati
čotast
čotata
čotavec
črč
črčkati
čremoš
črep
črepati
črepovje
čreti
čreti
čretež
čretien
čretje
črmljen
črničevec
črničevje
črnočêlec
črstvo
črti
črvivit
čuček
čuh
čuhati
čuljati
čumnat
čunek
čup
čupati
čurek
čvrlet
čvrti
čvršast
dahnet
damižaen
debelač
debelačevien
debelačina
debelačnica
debeliec
debelka
debič
dečkec
dečla
dečti
ded
dedeja
deklinica
denarski
der
deraka
deru
devičnica
devojčica
devojka
dihetata
di
dimek
dniki
dnikast
dnien
dnjač
dobrcì
dobriki
dobroletina
dobroletovina
dojač
dojilnik
dojnica
dojužnik
doti
doklič
dolenjkati
dolivek
domanje
domlatek
doplar
dopočenjati
dopočet
doprašati
dovzet
dožetek
dožnjek
drač
dragoljubec
dražnica
dražnik
dremalica
dremavek
dremoles
drežata
dr
drnoselj
dro
droben
drobež
drobilj
drožica
drsalica
družban
drvalnik
drvniec
drv
drvošec
drvotan
durnik
duti
duški
fačuk
fancelj
fantien
fantinec
farati
farofa
faški
ferati
fešti
filobus
firklja
fiškaliti
fižolinje
fižolovica
flajcek
flenčati
fojba
forželja
fovč
frackati
frati
fratje
frč
freti
fretar
fretati
frki
frkočiti
frliec
frluckati
frodelj
frtaljati
frug
fučkati
fureža
gantar
gantnar
gar
garati
garganija
garica
garnir
gêra
gêruša
gingav
glad
gladoven
gladovnjaka
glajti
glavnje
gleštati
glevit
glibanje
glist
glist
glistnica
glistnica
globanje
gnjêca
gnocat
gnojšnica
gnojvož
gnus
god
golen
golenec
golibar
goloroč
goloviec
golžun
gorec
gorečiec
goreček
goričar
gospona
gostivanje
gostivanjščak
gostovanjec
goščar
govejak
gožica
gožti
graba
grabica
grabič
grabljivek
grban
greba
grede
grêden
grencati
grenkuljati
grič
gričevnik
grilček
grilec
grint
grintavek
grivien
griz
griž
griževnjaka
grlj
grljan
grljeviec
grolik
grtanec
grudje
gru
guč
gučata
gudek
haba
habien
habnit
hader
hadrica
hajca
haloz
hebata
hembrati
hembrana
hemp
his
hitati
hlačnik
hlastien
hlebčar
hlikati
hlišče
hlopet
hnotava
hojen
hojka
hojek
hojkovien
hojkovka
host
hovt
hra
hrampati
hrampljata
hrastar
hrganje
hrliti
hruškovnica
hudiki
hudobiki
hudolesovina
hudoživ
hupkač
hupkati
hvošče
iba
ibovien
ibržnik
iec
icek
icikati
ihtati
ilovaka
ilovka
irhovica
irhovinast
irs
ispa
isteje
istje
ivanje
ivanjski
iziec
izkapati
izklenit
izlakati
izletalnik
izmezgata
iznevideti
izpahati
izpipati
izplahnit
izplahovata
izpodkapati
izpukati
izpukniti
izružiti
izžinjati
ižen
jabolčica
jabolčnica
jabolko
jaček
jagelca
jakec
jalovien
jamič
jamljič
jamnica
jan
janek
janževec
jarčje
jare
jarmeniec
jarmovka
jarniec
jarug
ječavec
jeglič
jeti
jelovec
jelševek
jelšnica
jerič
jêruša
jestnik
ješ
ješčece
jezerien
jezljata
jezljav
jo
jo
jožefov
juckanje
juckati
junakovica
jurjevica
jurjev
jusar
juškniti
južina
južinati
južji
kacata
kač
kaček
kačnica
kajh
kajon
kalalnik
kalata
kalonec
kamrati
kancelj
kanjec
kanju
kankol
kašnica
katalenščica
katarinek
kavaleti
kaver
kavkljata
kavel
kaver
kebast
kebeti
kebliec
kêček
kidoven
kimpež
kinkež
kipniti
kisati
kiselin
kiseljaka
kisilaček
kla
klaniec
klasien
klentati
klep
klepišče
kleščar
kleščman
klešter
kljukec
kljuniti
klobec
klojec
klošče
kloženj
kobač
koec
kocelj
kocen
kocnjast
kocnjata
koč
kočarije
koček
koček
koje
koje
kojit
kokoti
kokot
kolati
kolašica
kolat
kolavt
kolec
kolec
kolč
kolešter
kolica
kolinar
koliniti
koljenec
kolnik
kolomije
kolop
komarč
komen
komoljiki
kompara
koncata
konec
konjec
kont
kontrati
kopanje
kopet
kopien
kopinjak
kopinje
kopinščica
kopititi
kopjati
kopnjati
kopuljati
korač
korant
korar
korarski
korčuljati
korjêr
koromač
korošiec
koruzinje
koruznjaka
kosilnica
kosje
kosmien
kostanjevec
kostenec
košanec
košar
košeničica
košniec
kotar
kotata
kotec
kotoren
kovilje
kozodoje
kozoti
kožuhač
kožuhata
krad
krapavica
kraspati
kravojec
krempata
krempljata
kretit
krip
krivač
krivec
križad
križev
krlikovec
krmljenik
krmljenek
krmljenščak
kronica
kropnjač
krosen
krožica
krstien
krstitek
kršelj
krtinovec
krtovinjak
krucniti
kruči
krušen
kržaka
kucelj
kucljast
kuhalica
kuhljati
kuhnji
kuk
kuki
kukarica
kukma
kukmast
kukuričnjaka
ku
ku
kumč
kumek
kumen
kumica
kump
kumstvo
kupavati
kupilen
kupinar
kupljenik
kurjica
kurva
kvartin
kvatrnica
kvočiti
kvoček
kvokati
labrač
lagev
lajnata
lati
lamati
