,,,,,,,,,,,,,,,,,,,,,,,,,
Odbor za zunanjo politiko,6168,,Odbor za pravosodje,6422,,Seje Državnega zbora,7522,,Mandatno volilna komisija,,,"Odbor za delo, družino, socialne zadeve in invalide",6175,,"Odbor za kmetijstvo, gozdarstvo in prehrano",6407,,Odbor za kulturo,5632,,Odbor za zadeve EU,5871,,Preiskovalna komisija za ugotavljanje politične odgovornosti nosilcev javnih funkcij pri investiciji v blok 6 Termoelektrarne Šoštanj,6695
,6160,,,6417,,,7523,,,,,,6185,,,6378,,,5625,,,5870,,,6694
,6159,,,6416,,,5585,,,,,,6183,,,6373,,,,,,5866,,,6693
,6158,,,6445,,,5572,,,,,,6176,,,6370,,,,,,5864,,,6692
,6155,,,6425,,,5573,,,,,,,,,6367,,,,,,5861,,,6691
,6153,,,6685,,,5574,,,,,,,,,6363,,,,,,5860,,,6689
,6140,,,,,,5575,,,,,,,,,6362,,,,,,5858,,,6688
,6139,,,,,,5581,,,,,,,,,6354,,,,,,5855,,,6687
,6138,,,,,,,,,,,,,,,7537,,,,,,5846,,,6686
,6129,,,,,,,,,,,,,,,7536,,,,,,5841,,,6673
,6128,,,,,,,,,,,,,,,7535,,,,,,5829,,,6672
,6127,,,,,,,,,,,,,,,,,,,,,5828,,,6671
,6126,,,,,,,,,,,,,,,,,,,,,5816,,,6670
,6124,,,,,,,,,,,,,,,,,,,,,5811,,,6669
,6121,,,,,,,,,,,,,,,,,,,,,5809,,,6668
,6120,,,,,,,,,,,,,,,,,,,,,5807,,,6667
,6118,,,,,,,,,,,,,,,,,,,,,5805,,,6664
,6117,,,,,,,,,,,,,,,,,,,,,5802,,,6663
,6116,,,,,,,,,,,,,,,,,,,,,5801,,,6662
,6111,,,,,,,,,,,,,,,,,,,,,5799,,,6690
,6108,,,,,,,,,,,,,,,,,,,,,5797,,,6666
,6107,,,,,,,,,,,,,,,,,,,,,5791,,,6665
,6104,,,,,,,,,,,,,,,,,,,,,5784,,,6661
